distance_m,approach_rate_mps,pitch,roll,accel_magnitude,gyro_magnitude,tilt_magnitude,visibility_m,humidity_percent,label
17.78,3.48,3.84,-1.62,1.0049,0.6919,4.1651,9.2,81.0,1
21.48,1.71,-27.48,-13.84,1.518,0.4934,30.7655,5.6,69.7,3
49.44,0.25,4.5,-4.93,0.3563,0.1653,6.6706,16.5,30.2,0
25.63,6.0,-8.34,2.14,2.5985,2.0722,8.6069,4.3,86.9,1
7.82,5.39,6.09,-7.3,2.0621,0.3667,9.5025,3.7,87.0,3
6.47,8.38,-14.31,6.69,1.22,0.4524,15.7981,4.5,81.9,2
6.41,5.31,-4.73,-3.95,2.2464,2.0382,6.1638,1.5,96.6,3
23.12,1.85,-13.41,-3.25,0.7474,0.3317,13.8006,14.3,80.8,1
26.47,2.04,-1.73,-1.59,1.6154,0.3881,2.348,12.6,72.9,1
39.77,-0.25,-3.84,-2.65,0.5084,0.0938,4.6601,20.6,58.0,0
7.78,7.63,-0.67,-6.13,1.0228,0.6188,6.1636,3.5,89.2,3
10.51,2.98,-3.12,2.81,0.7751,0.9958,4.1962,6.6,59.1,1
9.89,8.93,4.6,12.74,0.941,0.5557,13.5458,3.1,82.2,2
27.51,0.53,5.46,-1.48,0.7314,0.6399,5.6573,16.8,62.7,1
44.2,-0.41,-4.35,0.91,0.5988,0.1465,4.4415,16.0,44.4,0
14.11,3.48,3.69,-1.35,0.5694,0.1375,3.9236,10.6,67.5,1
33.79,-0.91,-0.25,3.12,0.9817,0.1576,3.1329,19.9,47.3,0
8.8,2.99,-6.31,1.65,0.64,1.7976,6.5218,3.6,79.3,2
22.58,0.52,15.7,19.24,3.8293,1.4602,24.8305,13.8,64.5,2
51.32,1.26,1.0,1.47,0.7078,0.2305,1.7769,21.7,55.3,0
79.12,0.51,-4.54,-0.84,0.7591,0.1657,4.618,16.9,58.0,0
6.49,7.84,-11.73,2.95,1.6809,0.1556,12.1,3.1,89.9,2
24.62,1.88,-4.93,1.51,0.9637,0.2424,5.1537,18.0,62.3,1
36.88,0.63,1.86,-1.07,0.6161,0.1517,2.1448,22.1,40.0,0
1.84,14.09,7.98,-3.33,1.2675,1.0716,8.6529,5.8,98.0,3
18.28,1.02,3.21,-4.38,0.4431,0.5649,5.4313,12.2,75.4,1
26.91,2.86,2.3,7.28,1.6243,0.9221,7.6323,16.8,80.7,1
27.94,0.51,-0.55,0.06,1.3839,0.3909,0.5528,15.5,65.8,1
11.31,2.39,3.15,2.32,1.1494,0.1987,3.9128,15.0,55.6,1
8.5,3.95,9.74,-5.6,1.2741,0.6612,11.2349,5.2,81.9,2
2.22,9.55,-1.08,-7.94,0.3278,2.311,8.0124,3.8,87.7,3
10.89,0.95,0.15,6.92,0.4886,0.4707,6.9191,11.0,59.2,1
27.48,2.16,-7.03,9.72,0.3677,0.1565,12.0003,16.2,66.1,1
6.01,7.27,0.14,5.24,1.083,0.6128,5.2445,9.5,85.4,2
25.16,2.01,4.91,3.77,1.0368,0.1601,6.1894,11.5,77.7,1
17.24,0.7,-8.34,7.84,0.7348,0.251,11.4397,15.1,72.4,1
2.86,10.32,0.92,1.17,3.3737,1.5636,1.4816,5.0,83.8,3
14.85,4.48,-7.5,1.53,0.5324,0.9389,7.6508,5.9,84.5,2
7.82,6.17,1.35,5.46,1.7964,0.9682,5.6245,4.6,93.8,3
24.39,-0.59,4.16,4.84,5.0737,3.2433,6.3831,7.2,85.8,1
56.33,0.8,-0.02,-3.34,0.3869,0.0681,3.3381,21.0,42.9,0
9.26,5.95,-8.86,4.87,1.0184,1.5696,10.1085,3.2,77.6,2
45.89,1.49,6.66,0.79,0.3512,0.2627,6.7056,23.5,33.4,0
43.04,0.99,2.53,-1.9,0.7081,0.126,3.1673,16.0,50.8,0
12.18,3.76,-3.3,1.2,0.8676,0.4223,3.5076,11.2,75.1,1
5.51,12.68,-3.21,2.61,0.3788,2.3556,4.1322,3.0,90.2,3
11.36,2.25,1.0,-3.49,0.2794,0.647,3.6314,9.9,56.3,1
11.86,0.88,-2.98,0.53,0.903,0.5125,3.0299,16.8,79.8,1
5.88,7.87,-2.3,-0.78,1.78,1.6441,2.4277,4.4,83.6,3
12.04,4.97,1.5,-2.54,1.446,1.2985,2.9519,9.0,72.8,2
11.67,9.34,0.88,-1.17,1.0323,1.3863,1.4584,9.9,88.4,2
8.88,11.04,-9.72,2.07,0.8117,1.6048,9.9412,5.7,72.1,2
4.79,8.29,4.56,0.45,0.4247,0.8577,4.5852,1.1,86.3,3
24.72,0.73,0.21,-0.79,0.5132,0.1207,0.8147,15.6,34.2,0
56.04,1.16,0.72,-0.29,0.5765,0.1591,0.7713,21.3,41.9,0
35.44,-0.98,1.31,2.73,0.3287,0.1662,3.0259,18.4,38.9,0
74.39,0.68,-4.83,-0.18,0.6147,0.0876,4.8291,23.1,56.7,0
26.69,3.45,2.13,0.25,0.9265,0.4244,2.1404,13.1,73.0,1
2.15,13.71,-0.56,6.28,2.486,1.1681,6.3018,2.8,83.3,3
6.7,10.2,6.97,2.89,1.0144,1.3783,7.5468,6.7,80.7,2
73.09,-0.78,1.0,-1.81,0.6003,0.1103,2.0629,18.5,54.5,0
11.53,8.35,-0.87,-12.18,1.5721,0.6274,12.2071,7.4,76.4,2
79.17,1.0,-2.01,-0.02,0.7643,0.2335,2.0084,24.5,44.2,0
15.37,3.56,0.24,-7.69,2.3702,1.2346,7.6933,6.5,85.2,2
13.6,4.06,8.02,-4.39,2.0195,0.5949,9.146,3.5,77.5,2
29.52,-0.07,-0.53,2.01,0.411,0.1469,2.0746,21.8,39.9,0
0.97,9.07,-7.6,0.04,1.6926,0.8366,7.5999,3.1,96.1,3
7.22,7.6,5.34,-0.46,1.9368,2.1528,5.3561,6.0,87.4,3
1.1,8.4,-3.69,3.54,1.6207,2.0318,5.1162,2.1,85.6,3
2.34,18.79,0.06,4.36,1.8936,1.4915,4.3626,2.7,85.7,3
2.99,8.66,4.54,1.04,1.6459,0.915,4.6606,4.4,95.8,3
9.82,7.55,0.83,9.91,1.9582,0.9512,9.944,9.6,75.5,2
66.88,-0.2,-1.1,-0.99,0.1492,0.1654,1.4787,20.7,50.4,0
22.28,3.95,1.49,-1.13,0.8134,0.1981,1.8679,7.7,77.5,1
15.45,5.45,2.99,12.84,1.1113,0.6194,13.1856,4.1,78.7,2
7.53,3.8,-10.01,-0.65,0.9852,0.5599,10.0283,5.3,72.7,2
23.93,0.88,0.99,1.99,0.8753,0.1919,2.2214,13.6,68.2,1
16.83,3.55,1.44,-5.27,1.3851,0.159,5.4604,9.8,61.0,1
0.97,15.27,-1.47,-1.67,1.8934,0.4582,2.2285,5.3,95.2,3
21.64,1.28,0.9,-4.68,0.5817,0.3228,4.7628,14.4,64.4,1
54.89,-0.08,1.2,-0.71,0.4682,0.1526,1.3986,20.1,35.6,0
9.09,8.96,5.03,-1.51,1.0743,0.4174,5.2544,5.4,91.6,2
11.2,5.14,9.86,-1.9,0.5509,0.9685,10.0431,7.2,87.2,2
7.41,11.37,2.53,1.43,3.0514,0.5367,2.9052,7.6,78.2,2
79.43,-0.16,-3.95,-2.8,0.2832,0.1494,4.8382,16.5,42.6,0
11.05,3.25,-7.17,-5.4,1.0081,0.3629,8.9742,7.2,58.5,1
48.74,0.97,2.16,1.92,0.4623,0.1014,2.8897,22.6,58.5,0
11.85,8.52,-10.86,6.31,0.5201,1.2506,12.556,7.6,83.3,2
25.98,1.3,-0.75,0.55,0.1392,0.0787,0.9326,16.4,54.7,0
20.09,0.22,19.96,20.76,3.6342,1.2359,28.7981,9.3,78.6,3
37.89,0.2,-25.27,-10.96,1.9146,0.8201,27.5391,13.3,60.5,3
76.03,1.47,-0.79,2.67,0.4112,0.1286,2.7813,20.2,52.1,0
25.36,-0.63,-2.45,0.74,0.1234,0.3329,2.5583,18.4,31.2,0
6.76,13.74,1.57,1.24,2.7317,0.793,2.0054,1.6,89.9,3
29.31,2.17,16.9,10.4,1.7129,0.8951,19.8436,14.9,51.2,2
29.97,-0.62,-1.89,-4.93,0.6058,0.1925,5.2774,15.5,30.3,0
38.29,0.76,2.6,-2.58,0.3351,0.2681,3.666,18.7,46.3,0
32.01,-0.39,30.42,-11.47,3.3849,2.5384,32.5097,2.4,91.2,2
29.75,1.48,-0.14,-1.68,0.6417,0.1866,1.6887,18.7,53.6,0
47.89,-0.77,-3.89,-1.75,0.1018,0.1777,4.265,18.9,52.7,0
3.59,15.61,0.78,-9.59,0.5897,1.056,9.6247,5.2,93.4,3
35.19,-0.66,3.2,-1.31,0.4137,0.2937,3.4631,24.8,35.1,0
13.11,3.8,-5.77,0.93,0.4145,0.4309,5.8495,7.1,69.4,1
43.77,1.17,-2.65,-0.98,0.5207,0.071,2.8237,16.3,32.3,0
4.94,4.42,3.61,-10.69,1.8802,0.5539,11.2827,7.2,80.9,2
16.63,1.66,-9.87,-0.54,0.9722,0.3284,9.8853,15.2,67.2,1
53.56,0.16,0.17,0.02,0.7586,0.2327,0.1741,19.2,47.2,0
19.02,3.95,-9.33,1.0,0.9033,1.0848,9.3821,10.9,62.3,1
9.94,10.21,0.41,1.17,1.9125,0.4585,1.2357,3.7,79.2,2
1.56,13.52,4.1,3.86,0.5487,1.2687,5.632,3.5,92.1,3
25.67,3.4,-5.45,-2.29,0.7289,0.3226,5.9158,12.3,60.0,1
63.04,1.28,2.37,0.86,0.4449,0.0557,2.5242,15.5,49.8,0
31.09,-0.9,1.39,-3.1,0.3608,0.1657,3.3994,23.9,58.6,0
46.87,-0.5,2.48,-0.72,0.1552,0.1373,2.5791,18.1,64.7,0
73.55,-0.77,-1.05,1.31,0.4889,0.1748,1.6779,15.6,54.1,0
24.8,3.67,3.8,-3.58,1.1947,0.2409,5.2207,6.7,56.4,1
17.84,0.9,-6.85,1.22,0.8903,0.6432,6.9562,16.9,77.8,1
27.53,1.99,2.34,-1.07,0.3234,0.7459,2.5731,13.3,70.3,1
4.92,7.93,-2.58,-5.61,1.7129,1.1911,6.1736,2.5,90.7,3
3.93,15.11,6.48,1.26,2.6642,0.7123,6.5967,5.5,87.3,3
23.17,1.08,-3.35,-2.16,1.1873,0.4183,3.9855,14.9,67.7,1
10.2,1.15,9.0,-3.64,0.6176,0.1658,9.7051,16.1,76.4,1
10.82,1.65,7.65,2.29,0.3239,0.4896,7.9851,8.9,61.7,1
1.62,7.76,-1.25,-3.42,2.1488,0.6432,3.6444,3.5,96.6,3
27.07,-0.98,-2.15,-2.52,0.3282,0.2302,3.3137,19.2,42.8,0
1.83,11.28,9.23,3.27,2.0041,1.9299,9.7936,3.3,84.3,3
65.61,-0.39,-0.29,-0.23,0.4844,0.0502,0.3709,19.9,52.4,0
8.96,5.53,-7.45,4.98,2.4936,0.7362,8.9605,4.2,80.0,2
28.47,0.1,-4.06,-0.6,0.1562,0.137,4.0989,23.1,50.0,0
46.38,-0.08,3.52,-1.08,0.6148,0.1387,3.6839,16.5,42.3,0
13.34,4.09,-6.5,3.18,1.2759,0.5973,7.2343,4.7,73.4,2
15.44,3.71,1.87,6.31,0.8214,0.3848,6.585,8.9,82.0,1
23.97,1.82,1.31,-2.8,0.9667,0.3795,3.0934,6.7,71.1,1
17.22,1.37,-6.7,-4.29,0.4412,0.6365,7.9514,14.4,78.6,1
62.5,0.38,0.36,0.54,0.2618,0.1843,0.6489,22.9,52.5,0
78.3,0.44,4.57,0.33,0.7552,0.1447,4.577,19.6,44.4,0
59.8,-0.57,-1.68,1.67,0.688,0.1432,2.3705,24.6,39.5,0
29.22,-0.19,5.51,1.46,0.5128,0.1752,5.6989,18.2,37.7,0
6.76,10.56,-6.02,2.15,1.2719,1.0016,6.3913,4.8,93.8,3
13.64,7.03,5.4,1.87,2.0737,0.6428,5.7116,4.4,81.3,2
5.3,8.28,-0.03,2.61,0.8005,0.7135,2.6115,1.9,94.4,3
73.9,1.4,1.35,0.47,0.299,0.1767,1.4298,23.3,59.5,0
9.32,10.31,-3.88,-11.04,1.5058,1.2695,11.7016,6.2,72.5,2
1.72,19.64,2.51,0.83,1.2484,1.4604,2.6448,1.3,91.6,3
77.14,1.3,-3.54,-0.15,0.3101,0.1976,3.5464,20.7,55.1,0
24.11,0.58,7.59,-3.29,0.3947,0.1359,8.2724,21.9,61.6,0
72.16,0.24,-0.25,-2.15,0.2032,0.1512,2.1679,17.1,43.9,0
35.95,0.05,-4.26,-1.11,0.2685,0.3062,4.4059,23.4,43.6,0
8.87,5.71,0.83,-13.88,0.8763,1.08,13.9012,5.1,73.8,2
30.91,-0.45,-2.86,3.35,0.5538,0.2264,4.4033,16.8,35.2,0
67.41,0.06,-0.46,0.48,0.4362,0.1699,0.6601,20.6,41.7,0
7.07,7.87,0.1,2.36,4.1045,1.475,2.3592,5.5,88.8,3
24.18,3.78,4.55,0.75,0.4406,0.2233,4.6074,12.1,65.7,1
63.28,0.96,-0.92,0.1,0.7601,0.0765,0.9302,18.9,41.2,0
7.01,9.46,-10.31,-1.63,1.6893,0.3245,10.4337,4.3,85.5,3
22.93,2.9,-0.62,-1.12,0.9113,0.4736,1.2857,9.4,72.7,1
13.41,4.68,6.97,1.14,2.4098,2.5326,7.0657,2.9,81.3,1
36.94,1.28,-25.81,-15.93,3.9494,1.0662,30.3297,11.5,75.4,3
48.34,0.76,-0.18,1.63,0.155,0.1729,1.6371,17.1,42.9,0
15.2,1.15,-8.8,-7.51,1.1295,0.2203,11.5671,8.8,56.8,1
4.5,9.74,-2.64,2.16,1.9151,1.2471,3.41,5.1,89.0,3
5.97,9.8,1.79,3.49,0.8265,1.8606,3.9216,6.1,72.9,2
9.56,6.86,-11.87,8.39,0.6575,1.3279,14.5334,5.7,80.5,2
1.97,11.03,-4.35,0.97,1.4461,1.1578,4.4547,4.0,87.5,3
68.62,-0.55,0.87,-0.66,0.365,0.1532,1.0958,18.2,57.4,0
13.65,7.63,15.84,-5.74,1.4325,0.214,16.8457,4.1,73.5,2
4.97,14.52,-12.0,2.07,2.505,2.1527,12.1801,1.3,84.9,3
14.25,0.61,-3.15,-0.82,1.0608,0.4332,3.2542,8.7,77.7,1
10.26,4.71,4.54,10.49,0.6498,0.6136,11.4362,6.1,84.6,2
6.34,11.83,-9.04,-6.47,2.0155,2.0301,11.1144,4.0,82.8,3
68.18,1.39,3.26,-2.57,0.5259,0.1705,4.1529,24.6,46.1,0
2.17,7.58,-4.74,-8.38,1.6478,1.2486,9.6294,2.5,89.3,3
40.27,0.7,-2.06,5.05,0.5446,0.1859,5.4578,24.5,44.0,0
14.93,2.1,-0.54,-1.74,0.8254,0.6694,1.8252,16.4,80.9,1
70.97,1.06,5.01,3.13,0.5664,0.2792,5.9128,17.7,58.3,0
5.09,6.68,-17.66,0.46,1.0386,1.3996,17.6666,4.4,89.6,2
3.74,12.47,0.34,-2.84,1.891,1.2564,2.8567,4.1,83.6,3
25.31,0.18,-0.33,-5.08,0.4283,0.1235,5.0866,22.8,46.4,0
9.65,6.38,-9.62,2.1,1.2513,0.8431,9.8511,7.2,75.3,2
16.31,3.92,-4.26,-4.67,1.2249,0.1102,6.3237,14.9,75.2,1
11.83,1.98,3.8,4.4,0.2804,0.662,5.8151,6.5,78.5,1
30.37,0.17,25.77,-10.9,2.392,0.8942,27.9796,13.2,59.6,3
23.08,0.49,-3.36,1.2,0.3065,0.1275,3.5704,22.6,47.4,0
20.16,3.75,2.17,1.74,0.6064,0.5763,2.7817,11.0,58.8,1
34.74,-0.14,-1.29,1.59,0.4258,0.0919,2.0458,17.7,38.0,0
10.05,2.91,-2.36,5.98,0.8949,0.8975,6.4302,4.1,78.7,2
23.31,2.17,1.79,-2.55,0.521,0.6353,3.1219,9.3,68.4,1
42.84,1.26,-0.49,0.37,0.499,0.2337,0.6171,19.1,42.0,0
23.52,1.35,-0.57,2.71,0.1819,0.2538,2.7669,16.3,52.1,0
12.8,8.63,-7.8,-6.4,1.6829,0.7404,10.0906,5.8,77.1,2
18.19,5.39,4.27,-1.22,4.2518,1.4468,4.442,5.7,88.2,1
10.92,3.36,-13.03,6.58,0.5027,1.0866,14.5958,8.3,81.3,2
20.35,3.58,6.34,4.17,0.8355,0.7559,7.5936,17.8,66.8,1
34.47,0.09,24.44,18.52,2.8341,1.1845,30.6622,7.8,82.2,3
4.59,3.43,-5.38,-5.47,0.7241,0.5115,7.6731,9.3,82.8,2
41.67,0.33,-0.34,1.67,0.1865,0.0669,1.7021,20.3,48.5,0
14.49,1.11,-1.07,4.2,0.6084,0.2661,4.3336,15.6,80.9,1
4.1,5.2,2.64,8.22,0.7868,0.4321,8.637,9.8,72.9,2
47.55,0.49,1.59,1.02,0.231,0.0996,1.8892,19.9,30.8,0
36.44,2.39,28.39,21.93,2.0478,1.5032,35.873,12.7,54.1,3
40.44,0.92,2.41,-0.56,0.1174,0.3237,2.4776,24.4,45.1,0
10.94,2.16,-6.48,-5.46,1.4856,0.4273,8.4767,12.3,67.9,1
11.38,9.91,-7.31,-6.8,1.0774,0.7009,9.9793,9.0,86.2,2
59.11,0.79,0.2,-0.29,0.2841,0.2379,0.354,18.3,44.4,0
15.72,7.39,11.23,7.09,1.735,1.2709,13.2807,5.6,89.8,2
73.05,1.06,1.16,0.79,0.2281,0.0564,1.4037,24.2,62.2,0
50.55,-0.48,2.13,-0.3,0.5481,0.0916,2.1473,17.3,52.7,0
12.45,0.59,-2.16,-5.04,1.3252,0.2236,5.4777,13.1,73.7,1
11.28,9.1,-5.89,0.95,2.0726,0.9296,5.9702,7.5,91.8,2
52.49,-0.67,-1.55,1.78,0.4494,0.255,2.3568,21.4,44.4,0
24.77,0.47,0.88,0.64,0.3514,0.1521,1.0914,22.2,45.2,0
20.72,-0.76,2.16,1.32,0.2453,0.2371,2.5299,21.6,59.2,0
26.28,2.84,-4.2,-7.47,0.7863,0.8069,8.5695,15.2,58.8,1
8.78,11.27,2.12,-2.23,1.9259,0.5287,3.0809,6.1,89.7,2
63.71,-0.22,-2.35,-1.48,0.3934,0.2768,2.7783,20.4,55.2,0
27.28,-0.07,-0.45,-0.33,0.146,0.1199,0.5573,16.7,36.7,0
2.84,14.43,-1.96,-2.38,1.7481,1.0062,3.0842,4.7,87.0,3
26.86,1.27,-1.96,2.91,0.1597,0.2134,3.5109,15.3,44.0,0
66.54,1.02,3.56,-1.93,0.2505,0.1469,4.0518,19.4,54.5,0
70.67,-0.39,-2.58,-1.29,0.2758,0.1417,2.888,16.1,47.8,0
6.2,10.18,12.54,8.12,1.6671,1.1588,14.937,3.1,79.9,2
23.66,1.87,-9.91,0.45,1.1398,0.5118,9.9204,9.6,80.0,1
20.94,3.89,-3.93,-2.5,0.3566,0.4384,4.6532,14.7,57.7,1
4.16,8.28,-9.02,-4.13,1.4048,1.0313,9.9207,5.8,87.3,3
44.45,-0.38,-0.95,-2.51,0.3047,0.1643,2.6821,18.0,34.5,0
27.57,-0.11,1.7,0.29,0.4332,0.1856,1.7282,15.1,35.3,0
8.77,5.33,1.06,-12.58,1.1649,0.8419,12.628,4.6,89.2,2
15.12,5.76,-4.76,1.47,0.6165,0.5982,4.9818,8.6,82.9,2
37.36,0.19,1.06,0.95,0.6727,0.1352,1.4221,18.7,52.7,0
73.36,-0.84,-0.67,6.33,0.5913,0.1915,6.3646,24.5,35.7,0
70.27,-0.99,-0.35,1.84,0.3981,0.1317,1.8702,15.9,55.5,0
6.76,8.17,3.89,2.91,1.9369,1.5622,4.8594,3.6,88.3,3
41.71,-0.09,0.74,1.26,0.3466,0.2003,1.4573,16.0,57.0,0
7.29,11.84,-0.8,-4.59,4.7726,1.912,4.6599,3.1,89.5,3
12.6,4.47,9.62,-20.22,1.2799,1.6919,22.3958,2.4,77.4,1
2.56,10.64,5.04,-1.54,1.0168,1.1065,5.2728,3.9,83.2,3
6.14,5.82,-8.01,2.88,0.7526,0.4931,8.5101,3.5,83.4,2
52.85,0.02,3.57,1.44,0.1829,0.1276,3.8486,24.3,30.8,0
22.29,3.31,-0.97,0.89,1.5898,0.4681,1.316,13.8,72.7,1
5.25,7.68,4.1,-3.39,1.0945,0.4679,5.3173,8.9,80.0,2
24.16,4.91,-2.12,-4.78,2.1699,1.6,5.2292,4.4,82.6,1
6.01,4.0,5.24,-5.0,1.0432,0.8503,7.2393,4.1,78.8,2
12.55,5.12,11.71,-7.42,0.6851,0.6065,13.8674,6.1,81.1,2
13.48,2.32,4.01,-7.75,1.4434,1.4601,8.7262,5.6,76.1,2
10.19,3.89,0.48,-6.61,0.3957,0.467,6.6296,10.6,80.6,1
11.43,0.9,16.11,12.28,1.4324,1.055,20.2568,8.2,79.7,2
4.26,8.77,0.16,4.26,2.3385,0.7212,4.2635,1.7,92.5,3
11.3,0.15,-23.08,11.63,0.9782,0.5042,25.8424,12.1,72.4,3
7.33,6.25,0.19,-14.22,0.6693,1.2021,14.2201,4.8,91.8,2
77.79,-0.53,-1.69,-3.39,0.3747,0.1735,3.7849,22.9,55.0,0
36.28,-0.28,-2.16,-0.15,0.6758,0.1906,2.1637,20.2,44.4,0
25.15,2.99,3.59,-1.12,0.4387,0.145,3.7599,17.1,64.6,1
21.28,3.02,-0.63,-0.23,1.0136,0.5221,0.6688,10.9,73.8,1
38.35,0.08,-0.05,-0.06,0.2904,0.2584,0.0772,16.6,33.0,0
14.94,3.69,3.77,-4.75,1.5466,1.0401,6.0596,5.4,83.7,2
15.46,0.64,-2.88,0.01,0.4345,0.7956,2.8797,8.4,68.6,1
23.56,4.65,10.78,-3.14,1.8491,2.4069,11.2338,7.0,82.5,2
5.71,3.95,-9.04,-6.13,2.5319,1.3077,10.9227,9.7,89.5,2
6.66,-1.06,-0.53,3.45,1.1706,3.1066,3.4874,5.3,75.2,2
16.32,0.76,29.89,-17.8,1.267,1.6142,34.7929,12.3,65.0,3
26.96,2.59,-28.73,-16.18,2.144,0.4748,32.9776,6.8,62.0,3
9.04,9.68,0.31,2.74,0.7461,0.7195,2.7524,3.2,79.7,2
0.84,19.35,-2.59,-5.07,1.7855,1.1949,5.6934,1.6,94.2,3
18.93,1.09,1.77,4.42,0.9298,0.4142,4.7614,16.5,62.1,1
55.54,1.47,3.83,1.18,0.2459,0.1841,4.0108,22.7,46.1,0
11.5,2.53,8.59,5.15,0.3279,0.6442,10.0195,15.1,60.1,1
37.58,1.34,15.37,19.1,0.9299,1.1315,24.5178,8.0,66.8,2
22.46,0.7,2.87,2.09,0.5866,0.237,3.5456,15.8,37.0,0
10.71,6.32,-7.3,1.69,0.269,0.8072,7.494,3.5,78.2,2
18.66,0.4,15.42,-21.39,2.3463,0.6643,26.3719,13.5,79.0,3
27.72,-0.44,5.64,-0.39,0.4918,0.1379,5.6539,22.9,52.0,0
14.73,2.45,-9.16,8.75,0.559,0.5888,12.672,17.7,70.0,1
24.52,3.5,0.5,-8.82,0.5284,0.347,8.8368,6.4,55.3,1
70.33,-0.32,-1.35,-0.47,0.5449,0.1669,1.4316,21.2,33.5,0
24.29,0.38,-10.76,-7.8,3.7756,1.9095,13.2925,4.5,91.7,2
11.26,1.91,-4.72,-5.12,0.5049,0.6283,6.9629,13.4,78.9,1
49.77,1.08,-2.56,-0.97,0.4287,0.1074,2.7378,18.8,32.5,0
0.5,1.81,-16.5,2.22,2.1795,1.4342,16.6467,5.0,78.5,2
63.39,0.34,1.03,-0.18,0.1401,0.1163,1.0497,19.1,52.1,0
71.67,1.16,0.36,3.1,0.3,0.1614,3.1206,19.7,36.6,0
57.27,0.07,-2.51,0.42,0.278,0.1501,2.5448,18.6,32.9,0
11.8,0.44,-7.42,2.56,4.5463,2.1466,7.849,4.2,91.8,1
22.37,3.18,5.38,4.3,1.3069,0.4652,6.8813,7.7,72.3,1
42.37,-0.63,3.53,-0.41,0.3051,0.1664,3.5495,19.2,30.8,0
13.91,5.95,-15.09,-5.36,1.7198,0.7693,16.0174,3.8,87.7,2
3.04,17.43,8.14,-0.5,1.2082,1.1595,8.1582,4.3,83.1,3
25.41,2.1,28.16,-14.75,4.1567,0.5323,31.7927,14.8,60.1,3
16.29,2.61,3.55,-5.14,0.8092,0.4634,6.2419,16.6,65.4,1
0.5,0.48,-12.27,-5.76,2.7129,2.6282,13.5543,4.7,91.9,2
56.01,-0.87,1.73,-0.1,0.2701,0.1372,1.7307,18.3,49.1,0
26.08,3.24,5.05,7.42,1.2631,0.3665,8.9709,12.3,75.2,1
20.92,3.16,-0.03,3.43,0.8083,0.5973,3.4346,15.6,61.5,1
55.67,0.9,1.23,1.32,0.3083,0.0861,1.8082,21.3,46.6,0
4.52,16.13,-9.32,5.74,1.8161,1.0582,10.945,4.1,83.5,3
17.42,3.6,4.9,-0.84,0.368,0.2277,4.9756,13.5,64.3,1
45.39,-0.47,-3.92,-0.79,0.3887,0.1208,4.0014,16.2,37.9,0
43.45,0.52,2.79,-2.47,0.4276,0.2633,3.72,16.6,51.0,0
10.68,4.15,4.68,3.18,0.3903,0.169,5.6604,3.6,81.1,2
13.34,5.95,9.03,5.46,1.302,1.1809,10.5536,4.6,88.9,2
11.76,0.55,-24.41,-18.51,3.6958,0.6018,30.6312,12.6,66.4,3
47.73,-0.82,-1.42,-3.13,0.5119,0.0933,3.4366,24.2,41.4,0
17.42,2.08,-6.84,3.76,0.9676,0.2432,7.8046,7.1,62.9,1
4.82,13.92,-12.1,-2.46,3.0257,1.7325,12.3461,4.2,85.6,3
23.49,3.82,-7.45,3.13,1.1477,0.193,8.0821,17.9,57.8,1
12.4,6.34,3.73,1.07,1.9768,0.4817,3.8794,4.1,78.9,2
4.39,13.27,0.6,3.14,1.4445,1.8147,3.1968,2.9,87.1,3
0.7,10.48,1.17,5.57,2.6143,2.3123,5.6911,5.9,94.5,3
15.16,2.84,-0.6,-0.68,0.3779,0.4973,0.905,13.5,73.5,1
27.49,2.25,1.09,1.31,1.0639,0.4313,1.7061,15.6,65.4,1
4.3,16.74,6.25,-10.58,0.6657,1.186,12.292,3.5,94.6,3
27.82,0.63,-2.38,-0.34,0.8536,0.7514,2.4082,9.3,55.6,1
36.69,0.61,0.2,-2.42,0.4337,0.0922,2.4291,17.4,48.9,0
56.98,-0.22,1.62,-2.88,0.4969,0.0599,3.3065,23.1,62.2,0
8.77,4.89,2.49,4.48,0.8463,1.003,5.1213,8.0,80.4,2
21.49,3.76,-2.62,1.85,0.3708,0.7416,3.2121,7.6,64.0,1
20.64,3.54,-3.15,2.31,0.506,0.3848,3.906,11.7,76.9,1
12.65,5.7,-2.21,11.29,1.4388,0.4597,11.5092,8.0,81.7,2
12.88,1.34,3.9,1.75,0.6933,0.2773,4.2725,10.1,75.4,1
7.84,10.49,-0.48,-3.28,0.6147,0.7236,3.3137,9.3,87.3,2
30.84,-0.89,-2.14,2.36,0.3073,0.0811,3.1882,17.5,49.0,0
41.66,-0.86,-2.27,-1.84,0.2861,0.0635,2.9239,18.3,47.5,0
75.27,-0.74,-1.12,-1.24,0.7156,0.1857,1.6667,15.0,62.9,0
10.5,-0.22,-13.87,5.83,2.9219,2.1776,15.0441,4.7,93.3,2
61.67,0.24,1.12,0.1,0.1544,0.1366,1.128,18.7,40.7,0
69.36,1.3,-1.78,0.57,0.3022,0.1273,1.8667,23.3,54.5,0
13.87,2.38,9.59,1.76,0.9456,0.576,9.7527,8.8,73.6,2
72.81,-0.1,-1.77,1.9,0.4695,0.1461,2.6017,23.3,34.4,0
40.89,1.34,1.91,-1.46,0.4647,0.1451,2.4052,24.1,63.4,0
22.31,3.38,-1.03,-3.89,0.5794,0.3838,4.025,13.9,55.9,1
27.22,0.61,-7.95,-5.01,0.8377,0.4119,9.3999,12.7,74.6,1
10.3,9.95,1.24,12.29,1.6126,1.026,12.3481,6.8,85.4,2
25.46,1.01,-2.46,-0.51,0.3134,0.1377,2.5167,19.3,60.8,0
